"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CKMT2",-3.35393608,7.75695226,-5.52693753772482,2.0188968863476e-05,0.00334037036322483,2.94019658129251
"SVIP",-1.20161215,11.054421475,-5.51884378924807,2.05615849304699e-05,0.00334542844008102,2.92301535261338
"APOC1",2.50845735,10.625594625,5.51843772118106,2.0580463152149e-05,0.00334542844008102,2.92215316144147
"HIP1R",-0.890649400000001,9.5031605,-5.51646953221158,2.06722157904966e-05,0.00334542844008102,2.91797390064596
"NOX4",3.52357174,6.40497933,5.51240392167484,2.08630697083896e-05,0.00334674046359362,2.9093395556983
"C1orf216",0.922617489999997,8.491732005,5.50988483741009,2.09822256298549e-05,0.00334674046359362,2.90398869528052
"THBS2",3.61383150000001,10.02071516,5.50495077381631,2.12176294999126e-05,0.00336011474030402,2.89350599907726
"APOBEC2",-2.89732381,7.589016745,-5.49822390011311,2.15429171207744e-05,0.00336609352146752,2.87920989072652
"KLHDC2",-0.764817699999996,12.56074085,-5.49789336491962,2.1559031169022e-05,0.00336609352146752,2.87850729649155
"SLC22A23",-1.5485598,10.4368572,-5.49033393512457,2.19309400028851e-05,0.00339771217510515,2.8624353783143
"CPAMD8",-1.06645166,6.50297957,-5.48758015107046,2.2068041730871e-05,0.00339771217510515,2.85657901082672
"COX4I1",-0.580107799999999,14.18229665,-5.47333649714625,2.27912730710043e-05,0.00348486424315335,2.82627386316061
"SLC41A2",-1.5501389,10.66777975,-5.46355178087824,2.33020689720231e-05,0.00349979080492302,2.80544240152149
"GKN1",-8.99115714,10.00213715,-5.46265407713629,2.3349513200404e-05,0.00349979080492302,2.80353066990192
"ODF2L",0.977978890000001,7.948279615,5.45916887261421,2.35346443069246e-05,0.00349979080492302,2.79610779326589
"SCNN1B",-3.1638977,6.09591368,-5.45741752041051,2.36282391756857e-05,0.00349979080492302,2.79237720567926
"TMEM161B",-1.4860991,11.27892455,-5.45236991762013,2.39001201286874e-05,0.00349979080492302,2.78162329601942
